iter	RMSE
236	551.994845
237	547.9332432
238	545.5935911
239	544.0547047
240	541.5033801
241	538.1614445
242	537.9450767
243	535.8612066
244	533.7822722
245	532.5899534
246	531.1048724
247	530.1936725
248	528.3376984
249	525.7522766
250	525.3909933
251	523.9942559
252	522.5687728
253	521.4985317
254	520.6781159
255	518.9620723
256	517.7720948
257	516.8700962
258	516.6333155
259	513.9007173
260	512.2885105
261	508.4444543
262	506.8884034
263	504.8207188
264	501.4717102
265	501.2583334
266	498.2409566
267	495.1969872
268	492.5683673
269	491.3248836
270	490.6953754
271	488.3237901
272	485.4181669
273	485.2070721
274	482.8249984
275	481.5409517
276	480.6585287
277	479.4331095
278	478.1827432
279	476.3324507
280	475.1386495
281	472.4750039
282	471.3681799
283	470.0488226
284	468.2060391
285	467.4718682
286	465.845633
287	463.5233801
288	460.6328067
289	459.8846392
290	458.7497556
291	457.8359869
292	456.5310536
293	454.9220914
294	452.4531742
295	450.1029652
296	449.3250536
297	447.4149452
298	447.212995
299	446.572633
300	446.0871663
301	443.7380343
302	442.453987
303	441.9217227
304	440.2686368
305	439.4941507
306	438.3056329
307	437.2777271
308	436.5914249
309	436.1876063
310	434.0683705
311	432.8033618
312	431.5738552
313	430.3266449
314	430.150638
315	429.0823274
316	427.9403249
317	427.3973014
318	425.9591587
319	424.8282621
320	424.1418472
321	423.0429617
322	422.488031
323	421.4006332
324	419.6514928
325	418.8880774
326	418.2484585
327	416.4416681
328	415.3403019
329	413.5231038
330	412.9719204
331	411.4187376
332	411.0113266
333	409.8950834
334	408.9859428
335	408.5298741
336	408.377894
337	407.6300924
338	406.7158698
339	405.646436
340	403.173832
341	401.6434045
342	400.794212
343	399.071654
344	398.0173942
345	395.6902561
346	394.9640874
347	393.8157747
348	392.9283968
349	392.2720071
350	391.0811099
351	390.1450153
352	389.115209
353	389.02138
354	387.7560752
355	387.1223903
356	385.6128763
357	384.7233957
358	384.6449088
359	384.2717321
360	383.3475956
361	383.0437345
362	382.5652743
363	381.5261039
364	380.5278314
365	379.9705275
366	379.7930257
367	379.2230195
368	379.0095137
369	377.8683159
370	377.1432371
371	376.4766139
372	375.6129118
373	375.0147113
374	373.5405546
375	373.0010636
376	372.3731571
377	370.8819671
378	369.9648621
379	369.8966582
380	368.4020042
381	368.3408961
382	367.3470993
383	366.1094204
384	365.4987906
385	364.3834894
386	363.1416768
387	362.9730513
388	361.7030137
389	360.9392375
390	360.1943753
391	359.9642633
392	359.4316928
393	358.5342019
394	358.0502598
395	357.690709
396	357.053846
397	357.0258795
398	356.0891501
399	355.0237921
400	353.9578105
401	353.4372104
402	352.9055139
403	352.3472808
404	351.543189
405	350.9742309
406	350.597375
407	349.9228261
408	349.3051967
409	348.3816978
410	347.7266823
411	346.6706397
412	345.8794946
413	344.6827716
414	344.0752903
415	343.4434807
416	342.8678814
417	342.3198914
418	341.868501
419	341.3546963
420	340.7952555
421	340.2632333
422	339.823419
423	338.8433132
424	338.47976
425	338.0271792
426	337.1975936
427	336.484753
428	336.2990529
429	335.8636129
430	335.1981386
431	334.7265818
432	334.0295817
433	333.9962582
434	333.2355077
435	332.8932682
436	332.2474426
437	331.8311131
438	330.9817448
439	330.2389472
440	329.8145102
441	328.6443243
442	327.9783211
443	327.6372496
444	327.0354521
445	326.4782633
446	326.2040499
447	325.9162838
448	325.5546172
449	324.7802912
450	324.5040112
451	323.8256094
452	323.5863612
453	322.8012531
454	322.4656447
455	321.4420044
456	321.0054575
457	320.16883
458	320.1061693
459	319.6519151
460	319.1127694
461	318.3909532
462	317.9881418
463	317.6533666
464	317.0679598
465	316.010936
466	315.3153654
467	315.0709315
468	314.6259427
469	314.601678
470	313.7276075
471	313.3966883
472	312.5497919
473	311.7279752
474	311.4295721
475	311.2595868
476	310.916326
477	310.4741963
478	309.8701736
479	309.5867015
480	309.4023293
481	309.2339329
482	309.0189647
483	308.611883
484	307.9436054
485	307.5408151
486	307.3405974
487	306.6760917
488	306.3050196
489	305.6638728
490	305.5487249
491	304.8607701
492	304.2448703
493	303.7574615
494	303.0992944
495	302.6278312
496	302.2775442
497	301.5898657
498	301.2580633
499	301.0789444
500	300.752824
501	300.1873993
502	299.9073127
503	299.4703654
504	299.2434878
505	298.6598724
506	298.1038289
507	298.0443828
508	297.7846827
509	297.0125456
510	296.5519077
511	296.2047946
512	296.0412452
513	295.5784905
514	295.151473
515	294.8876305
516	294.3030256
517	294.1848366
518	293.888404
519	293.4386352
520	293.0456397
521	293.0118724
522	292.5044289
523	292.3242153
524	292.2503521
525	291.9163957
526	291.5700296
527	291.2464193
528	290.8030156
529	290.3524533
530	290.0950176
531	289.8181399
532	289.2933974
533	289.2076192
534	288.799592
535	288.5917701
536	288.1459753
537	288.0902069
538	287.6593125
539	287.5127346
540	287.2379131
541	287.2164112
542	286.6889855
543	286.0358009
544	285.7085114
545	285.5552151
546	285.3433025
547	285.179477
548	284.9893249
549	284.9044225
550	284.6944158
551	284.654916
552	284.2142433
553	283.6559198
554	283.1211255
555	282.4912966
556	282.0607477
557	281.9149824
558	281.7054622
559	281.543193
560	281.1946309
561	280.5544058
562	280.459575
563	280.0153074
564	279.8492763
565	279.6086352
566	279.3599527
567	279.129129
568	278.7864782
569	278.3886457
570	277.9871757
571	277.5528267
572	277.2191444
573	276.7293399
574	276.1693272
575	275.8326043
576	275.8063889
577	275.7871038
578	275.4847566
579	275.2523211
580	275.0613407
581	274.8629929
582	274.6512873
583	274.6098221
584	274.1372057
585	273.8540026
586	273.4968347
587	273.3442825
588	273.0973945
589	272.9137489
590	272.8181938
591	272.4248012
592	272.2620608
593	271.9797053
594	271.7338974
595	271.1659957
596	270.8498695
597	270.526218
598	270.3921468
599	270.2377918
600	269.6955231
601	269.5552909
602	269.2599237
603	269.1232891
604	268.9887887
605	268.8003708
606	268.6409341
607	268.4194565
608	268.2208779
609	268.0652176
610	267.7415252
611	267.5190137
612	267.2182141
613	267.1245315
614	266.8384634
615	266.5516314
616	266.3264319
617	265.8065561
618	265.6094548
619	265.4674964
620	265.2583004
621	264.9185472
622	264.8368589
623	264.7762003
624	264.594214
625	264.3581404
626	264.1037848
627	263.9536852
628	263.8419738
629	263.5804014
630	263.4304638
631	263.0901446
632	262.7901173
633	262.746679
634	262.6558569
635	262.4006941
636	262.0796101
637	261.9353054
638	261.8077939
639	261.5502766
640	261.4722687
641	261.4591455
642	261.1649301
643	260.856775
644	260.6846584
645	260.5723049
646	260.4136512
647	260.1650163
648	259.7970311
649	259.6025816
650	259.4243755
651	259.258675
652	258.9813206
653	258.6412709
654	258.3684725
655	258.1731633
656	257.8929087
657	257.6435465
658	257.5007333
659	257.3160021
660	257.2230222
661	257.1812815
662	256.7160695
663	256.5263118
664	256.4107427
665	256.1879508
666	256.1132107
667	255.9615736
668	255.9466931
669	255.7771478
670	255.6533022
671	255.6048402
672	255.4583548
673	255.3227504
674	255.1931158
675	254.9349624
676	254.8689194
677	254.6088414
678	254.4688817
679	254.3287979
680	254.0819204
681	253.9437019
682	253.8483648
683	253.668749
684	253.5752944
685	253.4275213
686	253.4178639
687	253.2095708
688	253.0765253
689	252.9412924
690	252.7990298
691	252.6107809
692	252.522306
693	252.3079743
694	252.2303613
695	252.0780675
696	251.8753248
697	251.861401
698	251.8505369
699	251.841305
700	251.8317003
701	251.741154
702	251.5808852
703	251.4191357
704	251.3093052
705	251.1405583
706	250.8795209
707	250.7481549
708	250.5171398
709	250.4611972
710	250.3817354
711	250.1782486
712	249.9981141
713	249.8615235
714	249.6854562
715	249.5446333
716	249.4730698
717	249.3926075
718	249.2556924
719	249.1322969
720	248.8284872
721	248.6401169
722	248.5027482
723	248.4281363
724	248.3117337
725	248.2147521
726	248.1407427
727	248.0364354
728	247.9960605
729	247.946751
730	247.9372097
731	247.8433183
732	247.6767389
733	247.5195168
734	247.239099
735	247.1525793
736	246.9882241
737	246.9311824
738	246.8302882
739	246.821344
740	246.5919299
741	246.5377371
742	246.3906275
743	246.3540547
744	246.1683018
745	245.991713
746	245.8051766
747	245.6445163
748	245.4596043
749	245.3534091
750	245.184948
751	245.174769
752	245.1171925
753	245.0455892
754	245.0062637
755	244.8457914
756	244.8400099
757	244.8028132
758	244.6194213
759	244.6115275
760	244.5354789
761	244.4293313
762	244.2768366
763	244.2100017
764	244.141735
765	243.9838381
766	243.9401288
767	243.8934445
768	243.7814851
769	243.7027674
770	243.6595494
771	243.3545138
772	243.2460876
773	243.153311
774	242.9599973
775	242.8698048
776	242.8402663
777	242.7827654
778	242.6767841
779	242.506922
780	242.465885
781	242.4161653
782	242.4086121
783	242.2557575
784	242.2454396
785	242.0471498
786	242.0420388
787	242.0384663
788	241.9448322
789	241.8910542
790	241.8012572
791	241.7579629
792	241.7245294
793	241.5875653
794	241.583296
795	241.5350797
796	241.479012
797	241.4183931
798	241.3608758
799	241.273513
800	241.2176704
801	241.1567557
802	241.0625507
803	240.9296943
804	240.8175316
805	240.772617
806	240.6597761
807	240.4033243
808	240.2524838
809	240.2189223
810	240.0996126
811	240.0622203
812	239.9386565
813	239.8393464
814	239.8336795
815	239.7412288
816	239.6270447
817	239.6212019
818	239.5493037
819	239.3518148
820	239.346709
821	239.2743637
822	239.2512815
823	239.0626383
824	239.00449
825	238.9275449
826	238.9055081
827	238.9003144
828	238.7760058
829	238.6946444
830	238.689706
831	238.685702
832	238.5601725
833	238.5135843
834	238.4673749
835	238.429429
836	238.3339061
837	238.2982208
838	238.1547049
839	238.1329894
840	238.096129
841	237.9875314
842	237.8532385
843	237.7291341
844	237.6749194
845	237.607708
846	237.6045166
847	237.6013585
848	237.5731451
849	237.446409
850	237.4419948
851	237.3779677
852	237.2851499
853	237.2710216
854	237.1648244
855	237.0537368
856	236.9643325
857	236.9617208
858	236.9471637
859	236.8186668
860	236.6966195
861	236.6521267
862	236.6294058
863	236.4992294
864	236.3390781
865	236.2682647
866	236.1213332
867	236.1051192
868	235.9518001
869	235.8736877
870	235.8485664
871	235.8110371
872	235.7059735
873	235.6407206
874	235.5356234
875	235.4650408
876	235.4396702
877	235.3890901
878	235.3480915
879	235.3121254
880	235.288065
881	235.2859928
882	235.1655513
883	235.1298349
884	235.1267873
885	235.0357775
886	234.9761526
887	234.92672
888	234.9181703
889	234.8898736
890	234.8871527
891	234.7732274
892	234.7232908
893	234.6521918
894	234.5835107
895	234.5112502
896	234.454666
897	234.3921065
898	234.2782194
899	234.2454397
900	234.1620717
901	234.1255982
902	234.0454914
903	233.9107784
904	233.8750106
905	233.7999292
906	233.7611639
907	233.6921577
908	233.6113455
909	233.5497947
910	233.5348883
911	233.3725854
912	233.3438396
913	233.3217463
914	233.2481074
915	233.1536122
916	233.1155292
917	233.0699658
918	233.0049892
919	232.973454
920	232.8799267
921	232.7591903
922	232.7117854
923	232.6846603
924	232.5741666
925	232.5504285
926	232.5113006
927	232.443168
928	232.3778286
929	232.3538672
930	232.2751884
931	232.2188633
932	232.1979126
933	232.1322177
934	232.0930226
935	232.0123745
936	231.9905427
937	231.9771862
938	231.9532637
939	231.8821015
940	231.8705296
941	231.8442083
942	231.7800513
943	231.7547474
944	231.7295347
945	231.6588353
946	231.6274716
947	231.5619968
948	231.5306051
949	231.4786905
950	231.4527012
951	231.4249276
952	231.3549188
953	231.2906353
954	231.273139
955	231.2712709
956	231.2571305
957	231.2263278
958	231.102101
959	231.0405991
960	231.0129274
961	231.0035316
962	230.9759974
963	230.966459
964	230.9462181
965	230.9336772
966	230.9125259
967	230.9109682
968	230.9087338
969	230.850613
970	230.7778516
971	230.775813
972	230.7661295
973	230.6718485
974	230.6593399
975	230.6482262
976	230.6104312
977	230.5835749
978	230.5383555
979	230.5252164
980	230.496443
981	230.3827456
982	230.34972
983	230.3106541
984	230.2835366
985	230.2254459
986	230.1990544
987	230.1657722
988	230.1500617
989	230.1350567
990	230.0887617
991	230.01293
992	229.9576647
993	229.9253244
994	229.923075
995	229.9014646
996	229.8413425
997	229.7766334
998	229.7549653
999	229.728469
